,Date,Title,Encabezado,SecLabel,Media
89,28/04/2017,"preventiva para el imputado de un doble crimen narco"">Preventiva para el imputado de un doble crimen narco","preventiva para el imputado de un doble crimen narco"">Preventiva para el imputado de un doble crimen narco",Policiales,Los Andes
90,28/04/2017,"tragico incendio en una casa de guaymallen murio una nena de 2 anos y su hermanito esta grave"">Trágico incendio en una casa de Guaymallén: murió una nena de 2 años y su hermanito está grave","tragico incendio en una casa de guaymallen murio una nena de 2 anos y su hermanito esta grave"">Trágico incendio en una casa de Guaymallén: murió una nena de 2 años y su hermanito está grave",Policiales,Los Andes
91,28/04/2017,"un nino resulto herido por turbina de un tractor en maipu"">Un niño resultó herido por turbina de un tractor en Maipú","un nino resulto herido por turbina de un tractor en maipu"">Un niño resultó herido por turbina de un tractor en Maipú",Policiales,Los Andes
92,28/04/2017,"uno de los policias que buscaba a araceli es hermano del principal sospechoso del crimen"">Uno de los policías que buscaba a Araceli es hermano del principal sospechoso del crimen","uno de los policias que buscaba a araceli es hermano del principal sospechoso del crimen"">Uno de los policías que buscaba a Araceli es hermano del principal sospechoso del crimen",Policiales,Los Andes
93,28/04/2017,"volco un camion de caudales rumbo al aeropuerto de mendoza"">Un camión de caudales volcó tras chocar contra un móvil de preventores de Las Heras","volco un camion de caudales rumbo al aeropuerto de mendoza"">Un camión de caudales volcó tras chocar contra un móvil de preventores de Las Heras",Policiales,Los Andes
94,29/04/2017,"con ayuda ordonez resistio intervencion nacional del gremio"">Con ayuda, Ordóñez resistió intervención nacional del gremio","con ayuda ordonez resistio intervencion nacional del gremio"">Con ayuda, Ordóñez resistió intervención nacional del gremio",Política,Los Andes
95,29/04/2017,"el deficit de las empresas publicas se redujo a la mitad"">El déficit de las empresas públicas se redujo a la mitad","el deficit de las empresas publicas se redujo a la mitad"">El déficit de las empresas públicas se redujo a la mitad",Política,Los Andes
96,29/04/2017,"fallecio a los 84 anos el historico lider del partido democrata progresista rafael martinez raymonda"">Falleció a los 84 años el histórico líder del Partido Demócrata Progresista, Rafael Martínez Raymonda","fallecio a los 84 anos el historico lider del partido democrata progresista rafael martinez raymonda"">Falleció a los 84 años el histórico líder del Partido Demócrata Progresista, Rafael Martínez Raymonda",Política,Los Andes
97,29/04/2017,"iran a concurso mas de 100 vacantes en el estado"">Irán a concurso más de 100 vacantes en el Estado","iran a concurso mas de 100 vacantes en el estado"">Irán a concurso más de 100 vacantes en el Estado",Política,Los Andes
98,29/04/2017,"macri puro optimismo tras regresar de eeuu"">Macri, puro optimismo tras regresar de EEUU","macri puro optimismo tras regresar de eeuu"">Macri, puro optimismo tras regresar de EEUU",Política,Los Andes
99,29/04/2017,"massa empieza a revelar su discurso para la campana"">Massa empieza a revelar su discurso para la campaña","massa empieza a revelar su discurso para la campana"">Massa empieza a revelar su discurso para la campaña",Política,Los Andes
100,29/04/2017,"barcelona con messi disputa el derbi catalan ante espanyol con la punta en juego"">Barcelona goleó al Espanyol y la punta de la Liga sigue al rojo vivo ","barcelona con messi disputa el derbi catalan ante espanyol con la punta en juego"">Barcelona goleó al Espanyol y la punta de la Liga sigue al rojo vivo ",Deportes,Los Andes
101,29/04/2017,"batacazo de zeballos que va contra nadal"">Batacazo de Zeballos que va contra Nadal","batacazo de zeballos que va contra nadal"">Batacazo de Zeballos que va contra Nadal",Deportes,Los Andes
102,29/04/2017,"bayern munich se consagro en la bundesliga por quinta vez consecutiva"">Bayern Múnich se consagró en la Bundesliga por quinta vez consecutiva","bayern munich se consagro en la bundesliga por quinta vez consecutiva"">Bayern Múnich se consagró en la Bundesliga por quinta vez consecutiva",Deportes,Los Andes
103,29/04/2017,"boxeo el britanico joshua vencio a klitschko y es el monarca absoluto de los pesados"">Boxeo: el británico Joshua venció a Klitschko y es el monarca absoluto de los pesados","boxeo el britanico joshua vencio a klitschko y es el monarca absoluto de los pesados"">Boxeo: el británico Joshua venció a Klitschko y es el monarca absoluto de los pesados",Deportes,Los Andes
104,29/04/2017,"canapino defiende su liderazgo en el top race v6"">Canapino defiende su liderazgo en el Top Race V6","canapino defiende su liderazgo en el top race v6"">Canapino defiende su liderazgo en el Top Race V6",Deportes,Los Andes
105,29/04/2017,"club de campo los cuartos fueron por el primer torneo chery cuyo"">Club de Campo: los cuartos fueron por el primer torneo Chery Cuyo ","club de campo los cuartos fueron por el primer torneo chery cuyo"">Club de Campo: los cuartos fueron por el primer torneo Chery Cuyo ",Deportes,Los Andes
106,29/04/2017,"con rodrigo baez titular jaguares recibe a sharks"">Con Rodrigo Báez titular, Jaguares recibe a Sharks","con rodrigo baez titular jaguares recibe a sharks"">Con Rodrigo Báez titular, Jaguares recibe a Sharks",Deportes,Los Andes
